SSN,ACTIVE SINCE,INQUIRIES,CREDIT LIMIT,TOTAL BALANCE,PUBLIC RECORD,MISSED PAYMENTS
123456789,2010-01-29,3,50000,3000,N,0
987654321,2012-01-29,6,60000,1000,N,1
111111111,2010-03-29,3,50000,3000,N,0
111111112,2012-04-29,6,6000,1000,N,1
111111113,2010-05-29,3,50000,3000,Y,0
111111114,2012-05-19,5,60000,1000,N,1
111111115,2010-01-29,3,50000,3000,N,0
111111116,2012-01-29,6,60000,1000,N,1
111111117,2010-01-09,3,50000,3000,N,0
111111118,2012-01-29,6,6000,1000,N,1
111111119,2010-01-29,6,50000,3000,N,0
111111120,2012-01-29,6,60000,1000,N,1
111111121,2010-01-29,3,50000,3000,N,0
111111122,2012-01-29,6,60000,1000,N,1
111111123,2010-01-29,3,50000,3000,N,0
111111124,2012-01-29,6,60000,1000,N,1
111111125,2010-01-29,10,50000,3000,N,0
111111126,2012-01-29,6,6000,1000,N,1
111111127,2010-01-29,3,50000,3000,N,0
111111128,2012-01-29,6,60000,1000,N,1
111111129,2010-01-29,3,50000,3000,N,0
111111130,2012-01-29,6,60000,1000,N,1
111111131,2010-01-29,3,50000,3000,N,0
111111132,2012-01-29,6,60000,1000,N,1
111111133,2010-01-29,3,5000,3000,N,0
111111134,2012-01-29,6,60000,1000,N,1
111111135,2010-01-29,3,50000,3000,N,0
111111136,2012-01-29,6,60000,1000,Y,1
111111137,2010-01-29,3,50000,3000,N,0
111111138,2012-01-29,6,60000,1000,N,1
111111139,2010-01-29,3,50000,3000,N,0
111111140,2012-01-29,6,6000,1000,N,1
111111141,2010-01-29,13,50000,3000,N,0
111111142,2012-01-29,6,60000,1000,N,1
111111143,2010-01-29,3,50000,3000,N,0
111111144,2012-01-29,6,60000,1000,N,1
111111145,2010-01-29,3,5000,3000,N,0
111111146,2012-01-29,6,60000,1000,N,1
111111147,2010-01-29,3,50000,3000,N,0
111111148,2012-01-29,6,60000,1000,N,1
111111149,2010-01-29,3,50000,3000,N,0
111111150,2012-01-29,6,60000,1000,N,1
111111151,2010-01-29,3,50000,3000,N,0
111111152,2012-01-29,6,60000,1000,N,1
111111153,2010-01-29,4,50000,3000,N,0
111111154,2012-01-29,16,60000,1000,N,1
111111155,2010-01-29,3,50000,3000,N,0
111111156,2012-01-29,6,60000,1000,N,1
111111157,2010-01-29,3,50000,3000,N,0
111111158,2012-01-29,6,6000,1000,N,1
111111159,2010-01-29,3,50000,3000,N,0
111111160,2012-01-29,64,60000,1000,N,1
111111161,2010-01-29,3,50000,3000,N,0
111111162,2012-01-29,6,60000,1000,N,1
111111162,2010-01-29,3,50000,3000,N,0
111111163,2010-01-29,3,50000,3000,N,0
111111164,2012-01-29,6,60000,1000,N,1
111111165,2010-01-29,3,50000,3000,N,0
111111166,2012-01-29,6,6000,1000,N,1
111111167,2010-01-29,3,50000,3000,N,0
111111168,2012-01-29,6,60000,1000,N,1
111111169,2010-01-29,31,50000,3000,N,0
111111170,2012-01-29,6,60000,1000,N,1
111111171,2010-01-29,3,50000,3000,N,0
111111172,2012-01-29,6,60000,1000,N,1
111111173,2010-01-29,3,50000,3000,N,0
111111174,2012-01-29,6,60000,1000,N,1
111111175,2010-01-29,3,50000,3000,N,0
111111176,2012-01-29,6,60000,1000,N,1
111111177,2010-01-29,3,50000,3000,N,0
111111178,2012-01-29,6,60000,1000,N,1
111111179,2010-01-29,3,50000,3000,N,0
111111180,2012-01-29,6,60000,1000,N,1
111111181,2010-01-29,3,50000,3000,N,0
111111182,2012-01-29,6,60000,1000,N,1
111111183,2010-01-29,3,50000,3000,N,0
111111184,2012-01-29,6,60000,1000,N,1
111111185,2010-01-29,3,50000,3000,N,0
111111186,2012-01-29,6,60000,1000,N,1
111111187,2010-01-29,3,50000,3000,N,0
111111188,2012-01-29,6,60000,1000,N,1
111111189,2010-01-29,3,50000,3000,N,0
111111190,2012-01-29,6,60000,1000,Y,1
111111191,2010-01-29,3,5000,3000,N,0
111111192,2012-01-29,6,60000,1000,N,1
111111193,2010-01-29,3,50000,3000,N,0
111111194,2012-01-29,6,60000,1000,N,1
111111195,2010-01-29,3,50000,3000,N,0
111111196,2012-01-29,6,60000,1000,N,1
111111197,2010-01-29,3,50000,3000,N,0
111111198,2012-01-29,6,60000,1000,N,1
111111199,2010-01-29,3,50000,3000,N,0
111111200,2012-01-29,6,60000,1000,N,1
111111201,2012-01-29,6,60000,1000,N,1
111111202,2012-01-29,6,60000,1000,Y,1
111111203,2012-01-29,6,60000,1000,N,1
111111204,2012-01-29,6,60000,1000,N,1
111111204,2012-01-29,6,60000,1000,N,1
111111205,2012-01-29,6,60000,1000,N,1
